Bajra,301.3,25.07,6.2
Barley,440.1,24.65,6.2
Bean,191.6,25.85,6.2
Blackgram,191.6,25.85,6.2
Bottle Gourd,191.6,25.85,6.2
Brinjal,301.3,25.07,6.2
Castor seed,787.7,24.27,6.2
Chillies,301.3,25.07,6.2
Coriander,301.3,25.07,6.2
Cowpea,626.0,24.44,6.2
Ginger,864.3,23.55,6.2
Grapes,440.1,24.65,6.2
Groundnut,301.3,25.07,6.2
Guar seed,301.3,25.07,6.2
Jowar,301.3,25.07,6.2
Khesari,440.1,24.65,6.2
Lady Finger,191.6,25.85,6.2
Lentil,301.3,25.07,6.2
Linseed,626.0,24.44,6.2
Maize,787.7,24.27,6.2
Moong(Green Gram),191.6,25.85,6.2
Orange,440.1,24.65,6.2
Papaya,931.0,23.87,6.2
Potato,301.3,25.07,6.2
Raddish,191.6,25.85,6.2
Ragi,440.1,24.65,6.2
Sannhamp,626.0,24.44,6.2
Sesamum,440.1,24.65,6.2
Sugarcane,931.0,23.87,6.2
Sunflower,440.1,24.65,6.2
Sweet potato,626.0,24.44,6.2
Tapioca,626.0,24.44,6.2
Urad,301.3,25.07,6.2
Varagu,440.1,24.65,6.2
Wheat,301.3,25.07,6.2
